EVENT_ID,TIME_STAMP,TYPE_DESCRIPTION,ONSTREET,DIRECTION,LAT,LONG
440,2013-10-04:17:25,Accident-ambulance rolling,405,0,33.761114,-118.024285
3213,2013-10-04:17:46,Accident-no details,405,1,34.122693,-118.478562
3204,2013-10-04:17:48,Accident-no details,405,1,34.1611,-118.469614
556,2013-10-04:17:51,Accident-property damage,405,1,33.671159,-117.828214
579,2013-10-04:18:13,Accident-property damage,405,0,33.685105,-117.861986
590,2013-10-04:18:26,Accident-property damage,405,0,33.690904,-117.92332
122,2013-10-04:18:38,Accident-property damage,405,0,33.690904,-117.92332
374,2013-10-04:18:38,Accident-ambulance rolling,405,1,33.811624,-118.161981
3494,2013-10-04:18:40,Accident-no details,405,0,34.25726,-118.472109
3526,2013-10-04:18:45,Accident-property damage,405,1,33.805642,-118.142538
3560,2013-10-04:18:51,Hit and Run-no injuries,405,1,34.00293,-118.411254
619,2013-10-04:19:03,Accident-ambulance rolling,405,1,33.652147,-117.766524
3672,2013-10-04:19:13,Accident-no details,405,1,33.822808,-118.198179
3672,2013-10-04:19:13,Accident-ambulance rolling,405,1,33.825417,-118.228404
3679,2013-10-04:19:14,Accident-ambulance rolling,405,1,33.825153,-118.218579
3831,2013-10-04:19:39,Hit and Run-no injuries,405,1,33.823144,-118.198851
3838,2013-10-04:19:41,Accident-ambulance rolling,405,0,34.172114,-118.46751
3838,2013-10-04:19:41,Accident-ambulance rolling,405,0,34.186639,-118.473991
4110,2013-10-04:20:42,Accident-property damage,405,0,34.055686,-118.451951
731,2013-10-04:21:48,Accident-no details,405,1,33.642012,-117.733055
732,2013-10-04:21:48,Accident-ambulance rolling,405,1,33.641223,-117.732611
4445,2013-10-04:22:17,Accident-property damage,405,1,33.814203,-118.176322
4593,2013-10-04:22:56,Hit and Run-no injuries,405,0,34.088608,-118.475191
178,2013-10-05:00:46,Accident-no details,405,0,34.25726,-118.472109
549,2013-10-05:02:39,Accident-property damage,405,1,33.813428,-118.167665
844,2013-10-05:05:18,Accident-no details,405,1,33.814203,-118.176322
908,2013-10-05:06:05,Accident-property damage,405,1,33.805642,-118.142538
948,2013-10-05:06:27,Accident-no details,405,1,34.00293,-118.411254
952,2013-10-05:06:27,Accident-ambulance rolling,405,1,33.975108,-118.384369
957,2013-10-05:06:27,Accident-no details,405,1,34.037243,-118.438884
951,2013-10-05:06:29,Accident-no details,405,1,33.989621,-118.40074
121,2013-10-05:07:24,Accident-ambulance rolling,405,1,33.722213,-117.974756
148,2013-10-05:08:11,Accident-no details,405,1,33.731681,-117.989185
1380,2013-10-05:09:28,Hit and Run-no injuries,405,130,34.185599,-118.474131
1415,2013-10-05:09:37,Accident-no details,405,1,33.963578,-118.370024
231,2013-10-05:10:51,Accident-no details,405,0,33.730942,-117.986308
1711,2013-10-05:11:10,Accident-property damage,405,1,34.122693,-118.478562
31,2013-10-05:11:11,Accident-property damage,405,1,34.122693,-118.478562
2112,2013-10-05:12:54,Accident-property damage,405,0,34.15067,-118.46824
2159,2013-10-05:13:04,Hit and Run-no injuries,405,1,33.898375,-118.370277
2240,2013-10-05:13:21,Hit and Run-no injuries,405,0,33.972065,-118.377561
443,2013-10-05:15:14,Accident-no details,405,0,33.6518,-117.760842
498,2013-10-05:16:46,Accident-property damage,405,0,33.68744,-117.872226
538,2013-10-05:18:12,Hit and Run-no injuries,405,0,33.774507,-118.080158
593,2013-10-05:19:45,Accident-no details,405,1,33.691016,-117.924226
668,2013-10-05:22:16,Accident-property damage,405,0,33.754385,-118.016229
31,2013-10-06:00:39,Accident-property damage,405,1,33.774246,-118.071496
123,2013-10-06:05:24,Accident-no details,405,1,33.675111,-117.839867
332,2013-10-06:12:52,Accident-ambulance rolling,405,1,33.660094,-117.782502
340,2013-10-06:15:11,Accident-property damage,405,0,33.688905,-117.918184
